@relation 'gamma_training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R23-26-weka.filters.unsupervised.attribute.AddExpression-E(a7+a9+a11+a13)/4-NmeanGhostx-weka.filters.unsupervised.attribute.AddExpression-E(a8+a10+a12+a14)/4-NmeanGhosty-weka.filters.unsupervised.attribute.AddExpression-E(a15+a16+a17+a18)/4-NmeanDist-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Remove-R15-25'

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute Direction {North,South,East,West,Stop}

@data
18,6,1,1,0,1,7,7,2,12,5,1,7,1,North
18,7,1,1,0,1,6,7,2,12,5,1,7,1,North
18,8,1,1,0,1,6,6,2,11,5,1,7,1,West
18,9,1,1,0,1,6,6,3,11,5,1,7,1,West
17,9,1,1,1,1,5,6,3,12,5,1,7,1,South
16,9,1,1,1,1,5,6,3,12,5,1,7,1,South
16,8,1,1,1,1,5,6,4,12,5,1,7,1,West
16,7,1,1,1,1,5,5,4,11,5,1,7,1,West
15,7,1,1,1,1,5,5,5,11,5,1,7,1,West
14,7,1,1,1,1,6,5,5,11,5,1,7,1,West
13,7,1,1,1,1,5,5,5,12,5,1,7,1,South
12,7,1,1,1,1,5,6,5,11,5,1,7,1,West
12,6,1,1,1,1,5,5,6,11,5,1,7,1,West
11,6,1,1,1,1,6,5,6,11,5,1,7,1,West
10,6,1,1,1,1,6,5,6,10,5,1,7,1,West
9,6,1,1,1,1,6,5,6,9,5,1,7,1,West
8,6,1,1,1,1,5,5,5,9,5,1,7,1,West
7,6,1,1,1,1,5,4,5,9,5,1,7,1,West
6,6,1,1,1,1,6,4,5,9,5,1,7,1,South
5,6,1,1,1,1,6,4,5,9,5,1,7,1,East
5,5,1,1,1,1,6,5,5,8,5,1,7,1,East
6,5,1,1,1,1,1,1,6,8,5,1,7,1,North
7,5,1,1,1,1,1,1,5,8,5,1,7,1,North
7,6,1,1,1,1,1,1,4,8,5,1,7,1,North
7,7,1,1,1,1,1,1,4,8,5,1,7,1,North
7,8,1,1,1,1,1,1,5,8,5,1,7,1,North
7,9,1,1,1,1,1,1,5,7,5,1,7,1,West
7,10,1,1,1,1,1,1,6,7,5,1,7,1,Stop
6,10,1,1,1,0,1,1,5,7,5,1,7,1,North
6,10,1,1,1,0,1,1,4,7,5,1,7,1,North
6,11,1,1,1,1,1,1,5,7,5,1,7,1,West
6,12,1,1,1,1,1,1,5,6,5,1,7,1,South
5,12,1,1,1,1,1,1,5,7,5,1,7,1,Stop
5,11,1,0,1,1,1,1,6,7,5,1,7,1,West
5,11,1,0,1,1,1,1,6,6,5,1,7,1,West
4,11,1,0,1,1,1,1,6,6,5,1,7,1,West
3,11,1,0,1,1,1,1,6,5,5,1,7,1,West
2,11,1,0,1,1,1,1,5,5,5,1,7,1,North
1,11,1,0,1,0,1,1,5,5,5,1,7,1,North
1,12,1,1,1,0,1,1,5,6,5,1,7,1,North
1,13,1,1,1,0,1,1,6,6,5,1,7,1,East
1,14,0,1,1,0,1,1,6,6,5,1,7,1,East
2,14,0,1,1,1,1,1,6,6,5,1,7,1,East
3,14,0,1,1,1,1,1,6,6,5,1,7,1,East
4,14,0,1,1,1,1,1,5,6,5,1,7,1,East
5,14,0,1,1,1,1,1,5,5,5,1,7,1,South
6,14,0,1,1,1,1,1,6,5,5,1,7,1,South
6,13,1,1,1,1,1,1,7,5,5,1,7,1,South
6,12,1,1,1,1,1,1,7,6,5,1,7,1,South
6,11,1,1,1,1,1,1,7,5,5,1,7,1,South
6,10,1,1,1,0,1,1,6,5,5,1,7,1,West
6,9,1,1,1,1,1,1,6,6,5,1,7,1,West
5,9,0,1,1,1,1,1,7,6,5,1,7,1,West
4,9,0,1,1,1,1,1,7,7,5,1,7,1,West
3,9,0,1,1,1,1,1,6,7,5,1,7,1,West
2,9,0,1,1,1,1,1,6,8,5,1,7,1,South
1,9,0,1,1,0,1,1,5,8,5,1,7,1,South
1,8,1,1,1,0,1,1,5,9,5,1,7,1,South
1,7,1,1,1,0,1,1,5,9,5,1,7,1,South
1,6,1,1,1,0,1,1,4,9,5,1,7,1,South
1,5,1,1,1,0,1,1,4,8,5,1,7,1,East
1,4,1,1,1,0,1,1,5,8,5,1,7,1,East
2,4,1,1,1,1,1,1,5,8,5,1,7,1,East
3,4,1,1,1,1,1,1,5,8,5,1,7,1,South
4,4,1,1,1,1,1,1,6,8,5,1,7,1,Stop
4,3,1,0,1,1,1,1,5,8,5,1,7,1,East
4,3,1,0,1,1,1,1,5,8,5,1,7,1,East
5,3,1,0,1,1,1,1,5,7,5,1,7,1,East
6,3,1,0,1,1,1,1,4,7,5,1,7,1,North
7,3,1,0,1,1,1,1,4,6,5,1,7,1,North
7,4,1,1,1,1,1,1,3,6,5,1,7,1,North
7,5,1,1,1,1,1,1,4,6,5,1,7,1,North
7,6,1,1,1,1,1,1,4,5,5,1,7,1,North
7,7,1,1,1,1,1,1,5,5,5,1,7,1,West
