@relation training_largemaps.arff

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosthx numeric
@attribute Gosthy numeric
@attribute DirToGhost1{North,South,East,West,Stop}
@attribute DirToGhost2{North,South,East,West,Stop}
@attribute DirToGhost3{North,South,East,West,Stop}
@attribute DirToGhost4{North,South,East,West,Stop}
@attribute Move{North,South,East,West,Stop}
@data
6,8,1,1,0,1,10,3,Stop,South,South,South,South
6,7,1,1,0,1,10,4,Stop,East,East,East,East
6,6,1,0,1,1,10,5,Stop,East,East,East,East
7,6,0,0,1,1,9,5,Stop,East,East,East,East
8,6,1,1,1,1,9,4,Stop,South,East,East,South
9,6,1,1,1,1,17,4,Stop,Stop,East,East,East
9,5,1,1,1,1,17,4,Stop,Stop,East,East,East
10,5,1,1,1,1,16,4,Stop,Stop,South,South,South
11,5,1,1,0,1,16,4,Stop,Stop,South,South,South
11,4,1,1,0,1,16,3,Stop,Stop,West,West,West
11,3,1,0,0,1,16,3,Stop,Stop,North,North,North
10,3,1,0,1,1,15,3,Stop,Stop,East,East,East
10,4,1,1,1,1,15,3,Stop,Stop,South,South,South
11,4,1,1,0,1,16,3,Stop,Stop,West,West,West
11,3,1,0,0,1,17,3,Stop,Stop,North,North,North
10,3,1,0,1,1,16,3,Stop,Stop,East,East,East
10,4,1,1,1,1,16,4,Stop,Stop,North,North,North
11,4,1,1,0,1,15,4,Stop,Stop,North,North,North
11,5,1,1,0,1,15,3,Stop,Stop,North,North,North
11,6,1,1,0,1,16,3,Stop,Stop,North,North,North
11,7,1,1,0,1,17,3,Stop,Stop,North,North,North
11,8,1,1,0,1,16,3,Stop,Stop,North,North,North
11,9,1,1,0,1,16,3,Stop,Stop,North,North,North
11,10,1,1,0,1,15,3,Stop,Stop,North,North,North
11,11,1,1,0,1,15,4,Stop,Stop,East,East,East
11,12,0,1,1,1,20,14,Stop,Stop,East,East,East
12,12,0,0,1,1,15,4,Stop,Stop,South,South,South
13,12,0,1,1,1,14,4,Stop,Stop,South,South,South
13,11,1,1,1,0,14,5,Stop,Stop,South,South,South
13,10,1,1,1,0,14,6,Stop,Stop,South,South,South
13,9,1,1,1,0,14,7,Stop,Stop,South,South,South
13,8,1,1,1,0,14,8,Stop,Stop,East,East,East
13,7,1,1,1,0,13,8,Stop,Stop,North,North,North
14,7,1,1,0,1,13,9,Stop,Stop,West,East,West
14,8,1,1,1,1,14,9,Stop,Stop,North,North,North
13,8,1,1,1,0,14,10,Stop,Stop,North,North,North
13,9,1,1,1,0,14,10,Stop,Stop,East,East,East
13,10,1,1,1,0,22,14,Stop,Stop,Stop,East,East
14,10,1,1,1,1,23,14,Stop,Stop,Stop,North,North
15,10,1,0,1,1,23,13,Stop,Stop,Stop,East,East
15,11,1,1,1,1,23,14,Stop,Stop,Stop,East,East
16,11,1,1,1,1,23,13,Stop,Stop,Stop,East,East
17,11,1,1,1,1,22,13,Stop,Stop,Stop,East,East
18,11,1,1,1,1,22,14,Stop,Stop,Stop,East,East
19,11,1,1,1,1,22,15,Stop,Stop,Stop,North,North
20,11,1,1,0,1,21,15,Stop,Stop,Stop,North,North
20,12,1,1,0,1,21,16,Stop,Stop,Stop,North,North
20,13,1,1,0,1,21,15,Stop,Stop,Stop,North,North
20,14,1,1,0,1,21,15,Stop,Stop,Stop,East,East
20,15,1,1,1,0,21,16,Stop,Stop,Stop,North,North
21,15,1,0,1,1,22,16,Stop,Stop,Stop,East,East
21,16,1,1,1,1,22,15,Stop,Stop,Stop,South,South
22,16,0,1,1,1,22,14,Stop,Stop,Stop,South,South
1,18,0,1,1,0,5,8,South,South,South,South,South
1,17,1,1,0,0,4,8,South,South,South,South,South
1,16,1,1,1,0,3,8,South,South,South,South,South
1,15,1,1,1,0,4,8,South,South,South,South,South
1,14,1,1,1,0,4,7,South,South,South,South,South
1,13,1,1,0,0,5,7,South,South,South,South,South
1,12,1,1,1,0,5,7,South,South,South,South,South
1,11,1,1,0,0,5,7,South,South,South,South,South
1,10,1,1,0,0,6,7,South,South,South,South,South
1,9,1,1,0,0,6,8,South,South,South,South,South
1,8,1,1,0,0,6,8,South,South,South,South,South
1,7,1,1,0,0,6,8,East,East,East,East,East
1,6,1,1,1,0,5,8,East,East,East,East,East
2,6,0,1,1,1,6,8,East,East,East,East,East
3,6,1,1,1,1,6,9,East,East,East,East,East
4,6,1,1,1,1,6,10,East,East,East,East,East
5,6,1,1,1,1,5,10,North,North,North,North,North
6,6,1,0,1,1,4,10,North,North,North,North,North
6,7,1,1,0,1,4,9,North,North,North,North,North
6,8,1,1,0,1,5,9,West,West,West,West,West
6,9,1,1,0,1,10,6,Stop,South,South,North,South
5,9,1,1,1,1,10,7,Stop,East,East,East,East
5,8,1,1,1,1,10,6,Stop,South,South,South,South
6,8,1,1,0,1,10,7,Stop,South,South,South,South
6,7,1,1,0,1,9,7,Stop,East,East,East,East
6,6,1,0,1,1,8,7,Stop,East,East,East,East
7,6,0,0,1,1,9,7,Stop,East,East,East,East
8,6,1,1,1,1,9,7,Stop,North,East,East,North
9,6,1,1,1,1,19,3,Stop,Stop,East,East,East
9,7,1,1,1,1,19,4,Stop,Stop,East,East,East
10,7,1,1,1,1,19,5,Stop,Stop,South,South,South
11,7,1,1,0,1,19,6,Stop,Stop,South,South,South
11,6,1,1,0,1,19,5,Stop,Stop,South,South,South
11,5,1,1,0,1,19,4,Stop,Stop,South,South,South
11,4,1,1,0,1,19,5,Stop,Stop,West,West,West
11,3,1,0,0,1,19,4,Stop,Stop,North,North,North
10,3,1,0,1,1,19,3,Stop,Stop,East,East,East
10,4,1,1,1,1,19,4,Stop,Stop,North,North,North
11,4,1,1,0,1,19,4,Stop,Stop,North,North,North
11,5,1,1,0,1,20,4,Stop,Stop,North,North,North
11,6,1,1,0,1,19,4,Stop,Stop,North,North,North
11,7,1,1,0,1,19,5,Stop,Stop,North,North,North
11,8,1,1,0,1,20,5,Stop,Stop,North,North,North
11,9,1,1,0,1,20,4,Stop,Stop,North,North,North
11,10,1,1,0,1,21,4,Stop,Stop,North,North,North
11,11,1,1,0,1,24,16,Stop,Stop,East,East,East
11,12,0,1,1,1,20,3,Stop,Stop,East,East,East
12,12,0,0,1,1,19,3,Stop,Stop,South,South,South
13,12,0,1,1,1,19,3,Stop,Stop,South,South,South
13,11,1,1,1,0,19,4,Stop,Stop,South,South,South
13,10,1,1,1,0,20,4,Stop,Stop,South,South,South
13,9,1,1,1,0,20,3,Stop,Stop,South,South,South
13,8,1,1,1,0,20,4,Stop,Stop,South,South,South
13,7,1,1,1,0,20,5,Stop,Stop,South,South,South
13,6,1,1,1,0,20,5,Stop,Stop,East,East,East
13,5,1,1,1,0,20,6,Stop,Stop,North,North,North
14,5,1,1,0,1,19,6,Stop,Stop,East,East,East
14,6,1,1,1,1,19,5,Stop,Stop,East,East,East
15,6,0,0,1,1,19,4,Stop,Stop,East,East,East
16,6,0,0,1,1,19,3,Stop,Stop,South,South,South
17,6,0,1,1,1,19,3,Stop,Stop,South,South,South
17,5,1,1,1,0,20,3,Stop,Stop,East,East,East
17,4,1,1,1,1,21,3,Stop,Stop,East,East,East
18,4,1,1,1,1,20,3,Stop,Stop,East,East,East
19,4,1,1,1,1,21,3,Stop,Stop,East,East,East
20,4,1,1,1,1,20,3,Stop,Stop,South,South,South
21,4,0,1,1,1,24,18,Stop,Stop,Stop,East,East
21,3,1,0,1,1,24,18,Stop,Stop,Stop,North,North
22,3,1,0,1,1,25,18,Stop,Stop,Stop,East,East
22,4,0,1,1,1,25,17,Stop,Stop,Stop,East,East
23,4,1,1,1,1,25,18,Stop,Stop,Stop,East,East
24,4,1,1,1,1,25,18,Stop,Stop,Stop,North,North
25,4,1,1,0,1,24,18,Stop,Stop,Stop,North,North
25,5,1,1,0,1,23,18,Stop,Stop,Stop,North,North
